epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
6,170.395,1.00746,2.26409,1.94143,0.70146,0.6188,0.69028,0.55287,0.76182,1.82918,1.68917,0.000396358,0.000396358,0.000396358
7,199.95,0.99422,2.05861,1.8796,0.71351,0.61477,0.67837,0.54112,0.76211,1.7215,1.68234,0.00039223,0.00039223,0.00039223
8,229.796,1.03494,2.05474,1.92279,0.70574,0.60579,0.66839,0.53699,0.75858,1.67826,1.66903,0.000388102,0.000388102,0.000388102
9,257.614,0.98745,2.15888,1.88692,0.68407,0.62581,0.67032,0.53605,0.77077,1.67444,1.67669,0.000383974,0.000383974,0.000383974
10,286.452,0.92629,1.93028,1.90002,0.7021,0.62866,0.6778,0.54054,0.76659,1.6599,1.66496,0.000379845,0.000379845,0.000379845
11,316.394,0.91905,1.76235,1.87964,0.70816,0.62704,0.67766,0.53923,0.75017,1.62341,1.66687,0.000375717,0.000375717,0.000375717
12,344.638,0.9809,1.97175,1.87101,0.70645,0.62467,0.67691,0.53452,0.76746,1.59709,1.66384,0.000371589,0.000371589,0.000371589
13,374.855,0.87991,1.82478,1.84847,0.70431,0.62424,0.67619,0.53385,0.76342,1.58849,1.6799,0.00036746,0.00036746,0.00036746
14,402.937,0.96009,1.9564,1.87568,0.7116,0.61561,0.67139,0.531,0.75959,1.56037,1.67264,0.000363332,0.000363332,0.000363332
15,431.618,0.85791,1.71295,1.83803,0.70793,0.61342,0.66595,0.52568,0.75267,1.5028,1.6687,0.000359204,0.000359204,0.000359204
16,459.006,0.92098,1.81787,1.91452,0.74352,0.61472,0.69713,0.55517,0.75252,1.4669,1.6711,0.000355076,0.000355076,0.000355076
17,489.128,0.91719,1.67453,1.86623,0.74566,0.61479,0.70524,0.56308,0.74832,1.39833,1.67971,0.000350947,0.000350947,0.000350947
18,517.373,0.87429,1.63963,1.84217,0.7373,0.61749,0.70797,0.55571,0.75935,1.35696,1.66943,0.000346819,0.000346819,0.000346819
19,544.208,0.84636,1.54658,1.82793,0.78977,0.62178,0.73692,0.57593,0.75346,1.28217,1.68121,0.000342691,0.000342691,0.000342691
20,571.989,0.8698,1.51651,1.85687,0.80177,0.65236,0.77313,0.61694,0.74986,1.21656,1.66998,0.000338562,0.000338562,0.000338562
21,600.37,0.8865,1.5936,1.83794,0.80991,0.64769,0.79331,0.63013,0.75213,1.15548,1.67379,0.000334434,0.000334434,0.000334434
22,630.438,0.93638,1.57391,1.93274,0.82452,0.6487,0.79434,0.63289,0.75346,1.09881,1.68462,0.000330306,0.000330306,0.000330306
23,659.558,0.8669,1.40293,1.85077,0.83031,0.64711,0.79335,0.63152,0.75859,1.04842,1.66669,0.000326177,0.000326177,0.000326177
24,689.694,0.83588,1.37536,1.83917,0.83887,0.64111,0.79085,0.62639,0.76833,1.01844,1.68635,0.000322049,0.000322049,0.000322049
25,718.603,0.90565,1.43941,1.8346,0.72464,0.73506,0.78751,0.62966,0.76683,0.99299,1.67113,0.000317921,0.000317921,0.000317921
26,753.179,0.85028,1.27578,1.8263,0.74121,0.74687,0.78242,0.62354,0.76927,0.96758,1.69774,0.000313792,0.000313792,0.000313792
27,785.649,0.85029,1.31859,1.84787,0.77297,0.72823,0.77979,0.62258,0.76048,0.94254,1.68944,0.000309664,0.000309664,0.000309664
28,818.489,0.85377,1.31381,1.81634,0.85212,0.72549,0.80503,0.64557,0.76061,0.94787,1.68515,0.000305536,0.000305536,0.000305536
29,850.874,0.81449,1.23028,1.85054,0.85907,0.7218,0.81247,0.64844,0.76495,0.92142,1.68882,0.000301408,0.000301408,0.000301408
30,882.907,0.84134,1.19219,1.89978,0.87291,0.728,0.82955,0.66672,0.75258,0.87672,1.6871,0.000297279,0.000297279,0.000297279
31,910.847,0.80523,1.1315,1.84872,0.87366,0.73261,0.83435,0.66673,0.75627,0.85739,1.68537,0.000293151,0.000293151,0.000293151
32,941.709,0.8142,1.07152,1.8587,0.8729,0.72894,0.83267,0.66315,0.76143,0.87067,1.69518,0.000289023,0.000289023,0.000289023
33,972.903,0.8697,1.172,1.78239,0.87323,0.72437,0.83202,0.65949,0.76879,0.8741,1.68008,0.000284894,0.000284894,0.000284894
34,1002.96,0.8739,1.15975,1.84516,0.86903,0.73079,0.82862,0.65718,0.76987,0.85983,1.70005,0.000280766,0.000280766,0.000280766
