epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
49,7665.52,0.53678,0.42319,1.65697,0.69038,0.63654,0.68701,0.57964,0.82111,1.683,1.8191,2.06832e-05,2.06832e-05,2.06832e-05
50,7821.05,0.53701,0.41949,1.6671,0.67644,0.65049,0.68606,0.57924,0.81907,1.67175,1.82124,1.24266e-05,1.24266e-05,1.24266e-05
1,157.005,1.27388,2.95464,2.31915,0.58434,0.48955,0.51271,0.35668,0.93369,2.4405,1.98188,0.000138713,0.000138713,0.000138713
2,307.104,1.02389,1.28151,2.0003,0.64108,0.55251,0.59304,0.42801,0.93008,2.37686,1.89814,0.000272214,0.000272214,0.000272214
3,454.713,0.97505,1.05278,1.94839,0.64596,0.56728,0.60851,0.44427,0.93295,2.48751,1.89994,0.000400211,0.000400211,0.000400211
4,600.464,0.94492,0.96942,1.92756,0.62533,0.5723,0.62272,0.46068,0.98421,2.53191,1.92852,0.00039223,0.00039223,0.00039223
5,746.062,0.9161,0.90724,1.88834,0.62964,0.58397,0.63034,0.47924,0.98812,2.55402,1.9533,0.000383974,0.000383974,0.000383974
6,892.99,0.87733,0.85583,1.86723,0.64836,0.58705,0.64169,0.49138,0.96329,2.56905,1.92693,0.000375717,0.000375717,0.000375717
7,1037.26,0.86392,0.83449,1.85837,0.64419,0.59351,0.64969,0.49685,0.9698,2.58097,1.91728,0.00036746,0.00036746,0.00036746
8,1183.31,0.85613,0.81235,1.85552,0.65236,0.60339,0.64917,0.504,0.99001,2.55577,1.94683,0.000359204,0.000359204,0.000359204
9,1329.66,0.83198,0.78633,1.83414,0.65115,0.60176,0.65124,0.50725,0.93877,2.59932,1.91575,0.000350947,0.000350947,0.000350947
10,1475.36,0.83273,0.78552,1.82893,0.63528,0.60374,0.64853,0.50711,0.97453,2.54621,1.94663,0.000342691,0.000342691,0.000342691
11,1620.64,0.80562,0.76005,1.82419,0.65542,0.60014,0.65198,0.51584,0.94443,2.59113,1.91097,0.000334434,0.000334434,0.000334434
12,1766.29,0.80403,0.75064,1.82325,0.6438,0.62366,0.66009,0.52029,0.95378,2.49637,1.92404,0.000326177,0.000326177,0.000326177
13,1911.03,0.79392,0.72826,1.83395,0.65314,0.58947,0.65215,0.51656,0.94141,2.45684,1.90489,0.000317921,0.000317921,0.000317921
14,2055.62,0.78618,0.72121,1.80988,0.65336,0.60205,0.65117,0.51984,0.92072,2.42976,1.8917,0.000309664,0.000309664,0.000309664
15,2201.87,0.78683,0.72226,1.80413,0.6508,0.61242,0.6552,0.5214,0.92845,2.4738,1.89789,0.000301408,0.000301408,0.000301408
16,2347.78,0.76773,0.69919,1.79708,0.65418,0.61217,0.65883,0.52549,0.90949,2.2837,1.88348,0.000293151,0.000293151,0.000293151
17,2494.27,0.77365,0.70208,1.79511,0.6601,0.61336,0.66125,0.52442,0.907,2.27985,1.87645,0.000284894,0.000284894,0.000284894
18,2640.36,0.76058,0.69117,1.77917,0.65962,0.61115,0.66305,0.53078,0.87686,2.21489,1.83766,0.000276638,0.000276638,0.000276638
19,2787.54,0.74825,0.67876,1.77223,0.662,0.61038,0.66259,0.53165,0.89373,2.13639,1.87918,0.000268381,0.000268381,0.000268381
20,2934.26,0.7505,0.67986,1.7741,0.65276,0.62601,0.66975,0.54348,0.87717,2.19903,1.85436,0.000260125,0.000260125,0.000260125
21,3080.13,0.74601,0.66831,1.77159,0.65649,0.62466,0.66381,0.53516,0.87387,2.17537,1.84596,0.000251868,0.000251868,0.000251868
22,3226.77,0.73853,0.65983,1.77008,0.64389,0.61715,0.65946,0.53062,0.8766,2.12911,1.85503,0.000243611,0.000243611,0.000243611
23,3373.11,0.73245,0.65835,1.76193,0.65683,0.60891,0.66203,0.53539,0.88052,2.15065,1.86097,0.000235355,0.000235355,0.000235355
24,3518.36,0.72576,0.65095,1.7569,0.66687,0.61926,0.67108,0.54512,0.86373,2.10211,1.85055,0.000227098,0.000227098,0.000227098
25,3663.43,0.72215,0.63805,1.7579,0.66831,0.61863,0.66891,0.54405,0.87972,2.07496,1.84938,0.000218842,0.000218842,0.000218842
26,3808.29,0.7146,0.63162,1.748,0.66659,0.62651,0.67255,0.54572,0.85966,2.07401,1.83932,0.000210585,0.000210585,0.000210585
27,3962.65,0.71297,0.62893,1.7483,0.66355,0.63375,0.67564,0.55209,0.8591,2.0439,1.83909,0.000202328,0.000202328,0.000202328
28,4107.78,0.71139,0.62241,1.74571,0.65415,0.62882,0.66545,0.54436,0.85628,2.081,1.84346,0.000194072,0.000194072,0.000194072
29,4254.58,0.70208,0.61215,1.72588,0.67008,0.62423,0.67364,0.55328,0.84099,2.0561,1.82219,0.000185815,0.000185815,0.000185815
30,4401.22,0.70282,0.61258,1.74225,0.65908,0.63291,0.66926,0.54921,0.84384,2.06247,1.82571,0.000177559,0.000177559,0.000177559
31,4554.56,0.69831,0.61008,1.73362,0.67169,0.62288,0.6702,0.54872,0.84095,2.05243,1.8311,0.000169302,0.000169302,0.000169302
32,4700.3,0.69843,0.61195,1.72323,0.65542,0.6321,0.6705,0.54853,0.85071,2.05645,1.83714,0.000161045,0.000161045,0.000161045
33,4845.2,0.68983,0.59655,1.7155,0.67165,0.62282,0.67339,0.55267,0.84394,2.03934,1.83626,0.000152789,0.000152789,0.000152789
34,4991.91,0.67577,0.58926,1.70641,0.67315,0.62803,0.67792,0.55775,0.84773,2.04196,1.83761,0.000144532,0.000144532,0.000144532
35,5154.62,0.68638,0.59341,1.73452,0.67732,0.62243,0.67528,0.55788,0.84173,2.04783,1.8293,0.000136276,0.000136276,0.000136276
36,5307.87,0.68168,0.58818,1.71515,0.66837,0.63072,0.67542,0.55862,0.83889,2.05605,1.82434,0.000128019,0.000128019,0.000128019
